"pmid","authSet","lang","pubTypeSet","date","journal","keywordSet"
36,"ALAIN LE COUPANEC;DIVYA BABIN;LAURENCE FIETTE;GRÉGORY JOUVION;PATRICK AVE;DOROTHEE MISSE;MICHÈLE BOULOY;VALERIE CHOUMET","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2013-06-13,"UNITED STATESPLOS NEGL TROP DIS1012914881935-2727",""
37,"MARY B CRABTREE;REBEKAH C KADING;JOHN-PAUL MUTEBI;JULIUS J LUTWAMA;BARRY R MILLER","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.;RESEARCH SUPPORT, U.S. GOV'T, P.H.S.",NA,"UNITED STATESJ WILDL DIS02441600090-3558","ARBOVIRUS;COI;BLOOD MEAL IDENTIFICATION;CYTOCHROME OXIDASE I;MOSQUITO"
38,"DARRYL FALZARANO;HEINZ FELDMANN","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., INTRAMURAL",2013-06-15,"NETHERLANDSCURR OPIN VIROL101560941",""
39,"M PETON;P VILAIN;O REILHES;E CARDINALE;B A GAÜZÈRE;L FILLEUL","FRE","ENGLISH ABSTRACT;JOURNAL ARTICLE",2013-06-14,"FRANCEBULL SOC PATHOL EXOT92125640037-9085",""
40,"NINA LAGERQVIST;BELISÁRIO MOIANE;LOURENÇO MAPACO;JOSÉ FAFETINE;SIRKKA VENE;KERSTIN I FALK","ENG","LETTER;RESEARCH SUPPORT, NON-U.S. GOV'T",NA,"UNITED STATESEMERG INFECT DIS95081551080-6040","FVFV;MAPOTO PROVINCE;MOZAMBIQUE;RIFT VALLEY FEVER VIRUS;ANTIBODIES;BOVINE;CATTLE;SEROPREVALENCE;VIRUSES"
41,"MOHAMED F SALLAM;AZZAM M AL AHMED;MAHMOUD S ABDEL-DAYEM;MOHAMED A R ABDULLAH","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, N.I.H., EXTRAMURAL;RESEARCH SUPPORT, NON-U.S. GOV'T",2013-06-06,"UNITED STATESPLOS ONE1012850811932-6203",""
42,"RAPHAËLLE MÉTRAS;MARC BAGUELIN;W JOHN EDMUNDS;PETER N THOMPSON;ALAN KEMP;DIRK U PFEIFFER;LISA M COLLINS;RICHARD G WHITE","ENG","HISTORICAL ARTICLE;JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",NA,"UNITED STATESEMERG INFECT DIS95081551080-6040","RIFT VALLEY FEVER;RIFT VALLEY FEVER VIRUS;SOUTH AFRICA;EPIDEMIC;LIKELIHOOD FUNCTIONS;TRANSMISSION;VIRUSES;ZOONOSES"
43,"MARIE-MARIE OLIVE;NADIA RAZAFINDRALAMBO;TONY ANDRIANAIVO BARIVELO;JEAN-THÉOPHILE RAFISANDRATANTSOA;VOAHANGY SOARIMALALA;STEVEN M GOODMAN;PIERRE E ROLLIN;JEAN-MICHEL HERAUD;JEAN-MARC REYNES","ENG","LETTER;RESEARCH SUPPORT, NON-U.S. GOV'T",NA,"UNITED STATESEMERG INFECT DIS95081551080-6040","MADAGASCAR;RIFT VALLEY FEVER;VIRUSES;WILD TERRESTRIAL MAMMALS"
44,"RAJINI MUDHASANI;JULIE P TRAN;CARY RETTERER;SHELI R RADOSHITZKY;KRISHNA P KOTA;LOUIS A ALTAMURA;JEFFREY M SMITH;BEVERLY Z PACKARD;JENS H KUHN;JULIE COSTANTINO;AURA R GARRISON;CONNIE S SCHMALJOHN;I-CHUEH HUANG;MICHAEL FARZAN;SINA BAVARI","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2013-05-29,"UNITED STATESJ VIROL01137240022-538X",""
45,"RHODA LEASK;ALBERTHA M BOTHA;GARETH F BATH","ENG","JOURNAL ARTICLE",2013-02-12,"SOUTH AFRICAJ S AFR VET ASSOC75031221019-9128",""
46,"NICOLAAS J PIENAAR;PETER N THOMPSON","ENG","JOURNAL ARTICLE",2013-03-05,"SOUTH AFRICAONDERSTEPOORT J VET RES04011070030-2465",""
47,"CAMILLE ESCADAFAL;JANUSZ T PAWESKA;ANTOINETTE GROBBELAAR;CHANTEL LE ROUX;MICHÈLE BOULOY;PRANAV PATEL;ANETTE TEICHMANN;OLIVER DONOSO-MANTKE;MATTHIAS NIEDRIG","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2013-05-23,"UNITED STATESPLOS NEGL TROP DIS1012914881935-2727",""
48,"CAROLIN KLEMM;JUAN REGUERA;STEPHEN CUSACK;FLORIAN ZIELECKI;GEORG KOCHS;FRIEDEMANN WEBER","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2013-05-22,"UNITED STATESJ VIROL01137240022-538X",""
49,"MAMDOUH EL-BAHNASAWY;LAILA ABDEL-MAWLA MEGAHED;HALA AHMED ABDALLA SALEH;TOSSON A MORSY","ENG","JOURNAL ARTICLE",NA,"EGYPTJ EGYPT SOC PARASITOL81021411110-0583",""
50,"ALLAN OLE KWALLAH;SHINGO INOUE;ANNE W T MUIGAI;TORU KUBO;ROSEMARY SANG;KOUICHI MORITA;MATILU MWAU","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",2013-05-18,"NETHERLANDSJ VIROL METHODS80058390166-0934","NS1;RT-LAMP;YFV"
