"pmid","authSet","lang","pubTypeSet","date","journal","keywordSet"
932,"G W ANDERSON;T W SLONE;C J PETERS","ENG","JOURNAL ARTICLE",NA,"ENGLANDMICROB PATHOG86061910882-4010",""
933,"K J LINTHICUM;C L BAILEY;F G DAVIES;C J TUCKER","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",NA,"UNITED STATESSCIENCE04045110036-8075",""
934,"J F SALUZZO;J P DIGOUTTE;C CHARTIER;D MARTINEZ;R BADA","ENG","LETTER",NA,"ENGLANDLANCET2985213R0140-6736",""
935,"I BOIRO;O K KONSTANINOV;A D NUMEROV","FRE","ENGLISH ABSTRACT;JOURNAL ARTICLE",NA,"FRANCEBULL SOC PATHOL EXOT FILIALES7503399",""
936,"D M MEUNIER;E D JOHNSON;J P GONZALEZ;M C GEORGES-COURBOT;M C MADELON;A J GEORGES","FRE","ENGLISH ABSTRACT;JOURNAL ARTICLE",NA,"FRANCEBULL SOC PATHOL EXOT FILIALES7503399",""
937,"J F SALUZZO;C CHARTIER;R BADA;D MARTINEZ;J P DIGOUTTE","FRE","ENGLISH ABSTRACT;JOURNAL ARTICLE",NA,"FRANCEREV ELEV MED VET PAYS TROP2984776R0035-1865",""
938,"S F TESSIER;P E ROLLIN;P SUREAU","ENG","JOURNAL ARTICLE",NA,"ENGLANDTRANS R SOC TROP MED HYG75061290035-9203",""
939,"A O ANDERSON;O L WOOD;A D KING;E H STEPHENSON","ENG","JOURNAL ARTICLE",NA,"UNITED STATESADV EXP MED BIOL01211030065-2598",""
940,"A M GAD;M M HASSAN;S EL SAID;M I MOUSSA;O L WOOD","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.;RESEARCH SUPPORT, U.S. GOV'T, P.H.S.",NA,"ENGLANDTRANS R SOC TROP MED HYG75061290035-9203",""
941,"B L SHARP;C C APPLETON;D L THOMPSON;G MEENEHAN","ENG","JOURNAL ARTICLE",NA,"ENGLANDTRANS R SOC TROP MED HYG75061290035-9203",""
942,"M J TURELL;C L BAILEY","ENG","JOURNAL ARTICLE",NA,"UNITED STATESJ MED ENTOMOL03754000022-2585",""
943,"J H GEAR","ENG","HISTORICAL ARTICLE;JOURNAL ARTICLE",NA,"SOUTH AFRICAS AFR MED J04045200256-9574",""
944,"B M MCINTOSH","ENG","JOURNAL ARTICLE;REVIEW",NA,"SOUTH AFRICAS AFR MED J04045200256-9574",""
945,"A M GAD;F M FEINSOD;I H ALLAM;M EISA;A N HASSAN;B A SOLIMAN;S EL SAID;A J SAAH","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T;RESEARCH SUPPORT, U.S. GOV'T, P.H.S.",NA,"ENGLANDJ TROP MED HYG04060440022-5304",""
946,"R SWANEPOEL;J K STRUTHERS;M J ERASMUS;S P SHEPHERD;G M MCGILLIVRAY;A J SHEPHERD;D E HUMMITZSCH;B J ERASMUS;B J BARNARD","ENG","COMPARATIVE STUDY;JOURNAL ARTICLE",NA,"ENGLANDJ HYG (LOND)03753740022-1724",""
947,"R SWANEPOEL;J K STRUTHERS;M J ERASMUS;S P SHEPHERD;G M MCGILLIVRAY;B J ERASMUS;B J BARNARD","ENG","JOURNAL ARTICLE",NA,"ENGLANDJ HYG (LOND)03753740022-1724",""
948,"R M SCOTT;F M FEINSOD;I H ALLAM;T G KSIAZEK;C J PETERS;B A BOTROS;M A DARWISH","ENG","COMPARATIVE STUDY;JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.;RESEARCH SUPPORT, U.S. GOV'T, P.H.S.",NA,"UNITED STATESJ CLIN MICROBIOL75055640095-1137",""
949,"A SHIMSHONY","ENG","HISTORICAL ARTICLE;LETTER",NA,"UNITED STATESJAMA75011600098-7484",""
950,"I H ALLAM;F M FEINSOD;R M SCOTT;C J PETERS;A J SAAH;S A GHAFFAR;S EL SAID;M A DARWISH","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.;RESEARCH SUPPORT, U.S. GOV'T, P.H.S.",NA,"UNITED STATESAM J TROP MED HYG03705070002-9637",""
951,"M E FARAN;W S ROMOSER;R G ROUTIER;C L BAILEY","ENG","JOURNAL ARTICLE",NA,"UNITED STATESAM J TROP MED HYG03705070002-9637",""
952,"G F MEADORS;P H GIBBS;C J PETERS","ENG","CLINICAL TRIAL;CONTROLLED CLINICAL TRIAL;JOURNAL ARTICLE",NA,"ENGLANDVACCINE84068990264-410X",""
953,"F W VAN DER WAALS;K L POMEROY;J GOUDSMIT;D M ASHER;D C GAJDUSEK","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",NA,"NETHERLANDSTROP GEOGR MED03762310041-3232",""
954,"C J PETERS;J A REYNOLDS;T W SLONE;D E JONES;E L STEPHEN","ENG","JOURNAL ARTICLE",NA,"NETHERLANDSANTIVIRAL RES81096990166-3542",""
955,"M J TURELL;C A ROSSI;R F TAMMARIELLO;C L BAILEY","ENG","JOURNAL ARTICLE",NA,"UNITED STATESJ MED ENTOMOL03754000022-2585",""
956,"M S COLLETT","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",NA,"UNITED STATESVIROLOGY01106740042-6822",""
957,"M I MOUSSA;K S ABDEL-WAHAB;O L WOOD","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",NA,"UNITED STATESAM J TROP MED HYG03705070002-9637",""
958,"K KEEGAN;M S COLLETT","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",NA,"UNITED STATESJ VIROL01137240022-538X",""
959,"","ENG","HISTORICAL ARTICLE;LETTER",NA,"UNITED STATESN ENGL J MED02555620028-4793",""
960,"F M FEINSOD;I ALLAM;A RAGAI;A J SAAH","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, U.S. GOV'T, P.H.S.",NA,"ENGLANDVET REC00311640042-4900",""
961,"F G DAVIES;K J LINTHICUM","ENG","LETTER;RESEARCH SUPPORT, NON-U.S. GOV'T;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",NA,"ENGLANDTRANS R SOC TROP MED HYG75061290035-9203",""
962,"P A ROSSIGNOL;J M RIBEIRO;M JUNGERY;M J TURELL;A SPIELMAN;C L BAILEY","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.;RESEARCH SUPPORT, U.S. GOV'T, P.H.S.",NA,"UNITED STATESPROC NATL ACAD SCI U S A75058760027-8424",""
963,"M J TURELL;C A ROSSI;C L BAILEY","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",NA,"UNITED STATESAM J TROP MED HYG03705070002-9637",""
964,"R SWANEPOEL;A J SHEPHERD;P A LEMAN;S P SHEPHERD","ENG","CASE REPORTS;COMPARATIVE STUDY;JOURNAL ARTICLE",NA,"SOUTH AFRICAS AFR MED J04045200256-9574",""
965,"H CAPLEN;C J PETERS;D H BISHOP","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",NA,"ENGLANDJ GEN VIROL00773400022-1317",""
966,"M KENDE","ENG","JOURNAL ARTICLE",NA,"UNITED STATESJ BIOL RESPONSE MOD82196560732-6580",""
967,"S G WOOD;K G UPADHYA;N K DALLEY;P A MCKERNAN;P G CANONICO;R K ROBINS;G R REVANKAR","ENG","COMPARATIVE STUDY;JOURNAL ARTICLE;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",NA,"UNITED STATESJ MED CHEM97165310022-2623",""
968,"A KONDELA;K LORETU;P N MELLA","ENG","JOURNAL ARTICLE",NA,"SCOTLANDTROP ANIM HEALTH PROD12773550049-4747",""
969,"K J LINTHICUM;F G DAVIES;A KAIRO;C L BAILEY","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",NA,"ENGLANDJ HYG (LOND)03753740022-1724",""
970,"T IHARA;J SMITH;J M DALRYMPLE;D H BISHOP","ENG","COMPARATIVE STUDY;JOURNAL ARTICLE;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",NA,"UNITED STATESVIROLOGY01106740042-6822",""
971,"M S COLLETT;A F PURCHIO;K KEEGAN;S FRAZIER;W HAYS;D K ANDERSON;M D PARKER;C SCHMALJOHN;J SCHMIDT;J M DALRYMPLE","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",NA,"UNITED STATESVIROLOGY01106740042-6822",""
972,"B NIKLASSON;C J PETERS;E BENGTSSON;E NORRBY","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",NA,"ENGLANDVACCINE84068990264-410X",""
973,"J D KARK;Y AYNOR;C J PETERS","ENG","CLINICAL TRIAL;COMPARATIVE STUDY;JOURNAL ARTICLE;RANDOMIZED CONTROLLED TRIAL",NA,"ENGLANDVACCINE84068990264-410X",""
974,"M KENDE;C R ALVING;W L RILL;G M SWARTZ;P G CANONICO","ENG","JOURNAL ARTICLE",NA,"UNITED STATESANTIMICROB AGENTS CHEMOTHER03150610066-4804",""
975,"M J TURELL;T P GARGAN;C L BAILEY","ENG","JOURNAL ARTICLE",NA,"UNITED STATESJ MED ENTOMOL03754000022-2585",""
976,"F G DAVIES;J KOROS;H MBUGUA","ENG","JOURNAL ARTICLE",NA,"ENGLANDJ HYG (LOND)03753740022-1724",""
977,"J J JOUBERT;O W PROZESKY;J G LOURENS;A M VAN STRATEN;J W THERON;C SWANEVELDER;G M MEENEHAN;C A VAN DER MERWE","ENG","JOURNAL ARTICLE",NA,"SOUTH AFRICAS AFR MED J04045200256-9574",""
978,"B S NIKLASSON;T P GARGAN","ENG","COMPARATIVE STUDY;JOURNAL ARTICLE",NA,"UNITED STATESAM J TROP MED HYG03705070002-9637",""
979,"F D VAN DER RIET;A R SAYED;B J BARNARD;E M VAN TONDER;W J CROUSE","ENG","JOURNAL ARTICLE",NA,"SOUTH AFRICAJ S AFR VET ASSOC75031221019-9128",""
980,"K J LINTHICUM;H F KABURIA;F G DAVIES;K J LINDQVIST","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",NA,"UNITED STATESJ AM MOSQ CONTROL ASSOC85112998756-971X",""
981,"J F SALUZZO;J P DIGOUTTE;J L CAMICAS;G CHAUVANCY","ENG","LETTER",NA,"ENGLANDLANCET2985213R0140-6736",""
982,"D BEN-NATHAN;R BARZILAI;A LAZAR;A SHAHAR","ENG","JOURNAL ARTICLE",NA,"SWITZERLANDDEV BIOL STAND04271400301-5149",""
983,"A L HOCH;T P GARGAN;C L BAILEY","ENG","JOURNAL ARTICLE",NA,"UNITED STATESAM J TROP MED HYG03705070002-9637",""
984,"F G DAVIES;K J LINTHICUM;A D JAMES","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",NA,"SWITZERLANDBULL WORLD HEALTH ORGAN75070520042-9686",""
985,"J P DIGOUTTE;J F SALUZZO;F ADAM","FRE","ENGLISH ABSTRACT;JOURNAL ARTICLE",NA,"FRANCEBULL SOC PATHOL EXOT FILIALES7503399",""
986,"P G CANONICO","ENG","CLINICAL TRIAL;JOURNAL ARTICLE",NA,"NETHERLANDSANTIVIRAL RES81096990166-3542",""
987,"","ENG","JOURNAL ARTICLE",NA,"SWITZERLANDWORLD HEALTH ORGAN TECH REP SER79032120512-3054",""
988,"T E WATTS;G TEMBO;N H NG'ANDU","ENG","JOURNAL ARTICLE",NA,"ZAMBIAMED J ZAMBIA02511030047-651X",""
989,"M EISA","ENG","COMPARATIVE STUDY;JOURNAL ARTICLE",NA,"ENGLANDJ HYG (LOND)03753740022-1724",""
990,"M J TURELL;C L BAILEY;C A ROSSI","ENG","JOURNAL ARTICLE",NA,"UNITED STATESAM J TROP MED HYG03705070002-9637",""
991,"J W HUGGINS;R K ROBINS;P G CANONICO","ENG","JOURNAL ARTICLE",NA,"UNITED STATESANTIMICROB AGENTS CHEMOTHER03150610066-4804",""
992,"M J TURELL;P A ROSSIGNOL;A SPIELMAN;C A ROSSI;C L BAILEY","ENG","JOURNAL ARTICLE",NA,"UNITED STATESSCIENCE04045110036-8075",""
993,"B S NIKLASSON;G F MEADORS;C J PETERS","ENG","COMPARATIVE STUDY;JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",NA,"DENMARKACTA PATHOL MICROBIOL IMMUNOL SCAND C82066240108-0202",""
994,"P G CANONICO;M KENDE;B J LUSCRI;J W HUGGINS","ENG","JOURNAL ARTICLE",NA,"ENGLANDJ ANTIMICROB CHEMOTHER75136170305-7453",""
995,"J F SALUZZO;J P DIGOUTTE;M CORNET;D BAUDON;J ROUX;V ROBERT","ENG","LETTER",NA,"ENGLANDLANCET2985213R0140-6736",""
996,"J K STRUTHERS;R SWANEPOEL;S P SHEPHERD","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",NA,"UNITED STATESVIROLOGY01106740042-6822",""
997,"A L HOCH;M J TURELL;C L BAILEY","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",NA,"UNITED STATESAM J TROP MED HYG03705070002-9637",""
998,"S G DROZDOV","RUS","JOURNAL ARTICLE;REVIEW",NA,"USSRZH MIKROBIOL EPIDEMIOL IMMUNOBIOL04152170372-9311",""
999,"B NIKLASSON;C J PETERS;M GRANDIEN;O WOOD","ENG","COMPARATIVE STUDY;JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",NA,"UNITED STATESJ CLIN MICROBIOL75055640095-1137",""
1000,"M J TURELL;T P GARGAN;C L BAILEY","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",NA,"UNITED STATESAM J TROP MED HYG03705070002-9637",""
1001,"C MATHIOT;J J RIBOT;Y CLERC;P COULANGES;N RASOLOFONIRINA","FRE","ENGLISH ABSTRACT;JOURNAL ARTICLE",NA,"MADAGASCARARCH INST PASTEUR MADAGASCAR75025260020-2495",""
1002,"T P GARGAN;C L BAILEY;G A HIGBEE;A GAD;S EL SAID","ENG","COMPARATIVE STUDY;JOURNAL ARTICLE",NA,"UNITED STATESAM J TROP MED HYG03705070002-9637",""
1003,"J J KIRSI;J A NORTH;P A MCKERNAN;B K MURRAY;P G CANONICO;J W HUGGINS;P C SRIVASTAVA;R K ROBINS","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",NA,"UNITED STATESANTIMICROB AGENTS CHEMOTHER03150610066-4804",""
1004,"A P TRAVASSOS DA ROSA;R B TESH;F P PINHEIRO;J F TRAVASSOS DA ROSA;N E PETERSON","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.;RESEARCH SUPPORT, U.S. GOV'T, P.H.S.",NA,"UNITED STATESAM J TROP MED HYG03705070002-9637",""
1005,"J R LINLEY;A L HOCH;F P PINHEIRO","ENG","JOURNAL ARTICLE;REVIEW",NA,"UNITED STATESJ MED ENTOMOL03754000022-2585",""
1006,"A J GEORGES;S A WAHID;D Y MEUNIER;M C GEORGES;J F SALUZZO;C J PETERS;J B MCCORMICK;J P GONZALEZ","ENG","LETTER",NA,"ENGLANDLANCET2985213R0140-6736",""
1007,"B NIKLASSON;M GRANDIEN;C J PETERS;T P GARGAN","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",NA,"UNITED STATESJ CLIN MICROBIOL75055640095-1137",""
1008,"R SWANEPOEL;J K STRUTHERS;G M MCGILLIVRAY","ENG","JOURNAL ARTICLE",NA,"UNITED STATESAM J TROP MED HYG03705070002-9637",""
1009,"J M MEEGAN;J P DIGOUTTE;C J PETERS;R E SHOPE","ENG","LETTER;RESEARCH SUPPORT, NON-U.S. GOV'T",NA,"ENGLANDLANCET2985213R0140-6736",""
1010,"B K JOHNSON;D OCHENG;L G GITAU;A GICHOGO;P M TUKEI;A NGINDU;A LANGATT;D H SMITH;K M JOHNSON;M P KILEY;R SWANEPOEL;M ISAACSON","ENG","JOURNAL ARTICLE",NA,"NETHERLANDSTROP GEOGR MED03762310041-3232",""
1011,"","ENG","JOURNAL ARTICLE",NA,"UNITED STATESMMWR MORB MORTAL WKLY REP78024290149-2195",""
1012,"","FRE","JOURNAL ARTICLE",NA,"SWITZERLANDBULL WORLD HEALTH ORGAN75070520042-9686",""
1013,"","ENG","JOURNAL ARTICLE",NA,"SWITZERLANDBULL WORLD HEALTH ORGAN75070520042-9686",""
1014,"N H GHONEIM;G T WOODS","ENG","JOURNAL ARTICLE",NA,"UNITED STATESJ MED75055660025-7850",""
1015,"B K JOHNSON;D OCHENG;A GICHOGO;M OKIRO;D LIBONDO;P M TUKEI;M HO;M MUGAMBI;G L TIMMS;M FRENCH","ENG","JOURNAL ARTICLE",NA,"ENGLANDTRANS R SOC TROP MED HYG75061290035-9203",""
1016,"A SHIMSHONY;R BARZILAI","ENG","JOURNAL ARTICLE;REVIEW",NA,"UNITED STATESADV VET SCI COMP MED02165400065-3519",""
1017,"T KURATA;R HONDO;S SATO;A ODA;Y AOYAMA;J B MCCORMICK","ENG","JOURNAL ARTICLE",NA,"UNITED STATESANN N Y ACAD SCI75068580077-8923",""
1018,"G O EZEIFEKA;J U UMOH;E D BELINO;C D EZEOKOLI","ENG","COMPARATIVE STUDY;JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",NA,"TAIWANINT J ZOONOSES75050080377-0168",""
1019,"P G CANONICO;P B JAHRLING;W L PANNIER","ENG","COMPARATIVE STUDY;JOURNAL ARTICLE",NA,"NETHERLANDSANTIVIRAL RES81096990166-3542",""
1020,"H L BACHRACH","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.;REVIEW",NA,"UNITED STATESJ AM VET MED ASSOC75030670003-1488",""
1021,"J D KARK;Y AYNOR;C J PETERS","ENG","JOURNAL ARTICLE",NA,"UNITED STATESAM J EPIDEMIOL79106530002-9262",""
1022,"P G CANONICO;W L PANNIER;J W HUGGINS;K L RIENEHART","ENG","JOURNAL ARTICLE",NA,"UNITED STATESANTIMICROB AGENTS CHEMOTHER03150610066-4804",""
1023,"J A COETZER;K G ISHAK;R C CALVERT","ENG","JOURNAL ARTICLE",NA,"SOUTH AFRICAONDERSTEPOORT J VET RES04011070030-2465",""
1024,"J A COETZER;K G ISHAK","ENG","JOURNAL ARTICLE",NA,"SOUTH AFRICAONDERSTEPOORT J VET RES04011070030-2465",""
1025,"J K STRUTHERS;R SWANEPOEL","ENG","JOURNAL ARTICLE",NA,"ENGLANDJ GEN VIROL00773400022-1317",""
1026,"J H GEAR","ENG","CASE REPORTS;JOURNAL ARTICLE",NA,"UNITED STATESYALE J BIOL MED04174140044-0086",""
1027,"J A COETZER","ENG","JOURNAL ARTICLE",NA,"SOUTH AFRICAONDERSTEPOORT J VET RES04011070030-2465",""
1028,"J A COETZER;A THEODORIDIS","ENG","JOURNAL ARTICLE",NA,"SOUTH AFRICAONDERSTEPOORT J VET RES04011070030-2465",""
1029,"K AZUMA","JPN","JOURNAL ARTICLE",NA,"JAPANHOKKAIDO IGAKU ZASSHI17410290R0367-6102",""
1030,"R F SELLERS;D E PEDGLEY;M R TUCKER","ENG","JOURNAL ARTICLE",NA,"ENGLANDVET REC00311640042-4900",""
1031,"B NIKLASSON","ENG","CASE REPORTS;JOURNAL ARTICLE",NA,"SWEDENSCAND J INFECT DIS02153330036-5548",""
1032,"M JENNINGS;G S PLATT;E T BOWEN","ENG","JOURNAL ARTICLE",NA,"ENGLANDTRANS R SOC TROP MED HYG75061290035-9203",""
1033,"C J PETERS;T W SLONE","ENG","COMPARATIVE STUDY;JOURNAL ARTICLE",NA,"UNITED STATESJ MED VIROL77058760146-6615",""
1034,"","ENG","JOURNAL ARTICLE",NA,"SWITZERLANDWHO OFFSET PUBL04346400303-7878",""
1035,"R E SHOPE;C J PETERS;F G DAVIES","FRE","JOURNAL ARTICLE",NA,"SWITZERLANDBULL WORLD HEALTH ORGAN75070520042-9686",""
1036,"R E SHOPE;C J PETERS;F G DAVIES","ENG","JOURNAL ARTICLE",NA,"SWITZERLANDBULL WORLD HEALTH ORGAN75070520042-9686",""
1037,"M I MOUSSA;O L WOOD;K S ABDEL WAHAB","ENG","JOURNAL ARTICLE",NA,"ENGLANDTRANS R SOC TROP MED HYG75061290035-9203",""
1038,"J D KARK;Y AYNOR;Y BEN MORDECHAI;N RON-KUPER;B A PELEG;C J PETERS","ENG","JOURNAL ARTICLE",NA,"ENGLANDTRANS R SOC TROP MED HYG75061290035-9203",""
1039,"B K JOHNSON;L G GITAU;A GICHOGO;P M TUKEI;J G ELSE;M A SULEMAN;R KIMANI;P D SAYER","ENG","JOURNAL ARTICLE",NA,"ENGLANDTRANS R SOC TROP MED HYG75061290035-9203",""
1040,"N K BLACKBURN;L SEARLE;P TAYLOR","ENG","JOURNAL ARTICLE",NA,"ENGLANDTRANS R SOC TROP MED HYG75061290035-9203",""
1041,"R B TESH;C J PETERS;J M MEEGAN","ENG","COMPARATIVE STUDY;JOURNAL ARTICLE;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.;RESEARCH SUPPORT, U.S. GOV'T, P.H.S.",NA,"UNITED STATESAM J TROP MED HYG03705070002-9637",""
1042,"K G ISHAK;D H WALKER;J A COETZER;J J GARDNER;L GORELKIN","ENG","JOURNAL ARTICLE;REVIEW",NA,"UNITED STATESPROG LIVER DIS03764471060-913X",""
1043,"F G DAVIES;L KARSTAD","ENG","JOURNAL ARTICLE",NA,"SCOTLANDTROP ANIM HEALTH PROD12773550049-4747",""
1044,"R J YEDLOUTSCHNIG;A H DARDIRI;C A MEBUS;J S WALKER","ENG","CASE REPORTS;JOURNAL ARTICLE",NA,"ENGLANDVET REC00311640042-4900",""
1045,"J L BROWN;J W DOMINIK;R L MORRISSEY","ENG","JOURNAL ARTICLE",NA,"UNITED STATESINFECT IMMUN02461270019-9567",""
1046,"A A EL MEKKI;G VAN DER GROEN","ENG","COMPARATIVE STUDY;JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",NA,"NETHERLANDSJ VIROL METHODS80058390166-0934",""
1047,"J D WESTOVER;G R REVANKAR;R K ROBINS;R D MADSEN;J R OGDEN;J A NORTH;R W MANCUSO;R J ROUSSEAU;E L STEPHEN","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",NA,"UNITED STATESJ MED CHEM97165310022-2623",""
1048,"O TOMORI;T P MONATH;E H O'CONNOR;V H LEE;C B CROPP","ENG","CASE REPORTS;JOURNAL ARTICLE",NA,"UNITED STATESAM J TROP MED HYG03705070002-9637",""
1049,"A F DEUTMAN;H J KLOMP","ENG","CASE REPORTS;JOURNAL ARTICLE",NA,"UNITED STATESAM J OPHTHALMOL03705000002-9394",""
1050,"I M PARSONSON;A J DELLA-PORTA;W A SNOWDON","ENG","JOURNAL ARTICLE;REVIEW",NA,"UNITED STATESAM J TROP MED HYG03705070002-9637",""
1051,"A A EL MEKKI;P NIEUWENHUYSEN;G VAN DER GROEN;S R PATTYN","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, NON-U.S. GOV'T",NA,"ENGLANDTRANS R SOC TROP MED HYG75061290035-9203",""
1052,"A S SALEH;K A MOHAMMED;M M HASSAN;T J BUCCI;J M MEEGAN","ENG","LETTER;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",NA,"ENGLANDTRANS R SOC TROP MED HYG75061290035-9203",""
1053,"A RICKENBACH;J MOUCHET","FRE","ENGLISH ABSTRACT;JOURNAL ARTICLE",NA,"FRANCEMED TROP (MARS)87101460025-682X",""
1054,"H J KLOMP;A F DEUTMAN;H A VAN TONGEREN","DUT","CASE REPORTS;ENGLISH ABSTRACT;JOURNAL ARTICLE",NA,"NETHERLANDSNED TIJDSCHR GENEESKD04007700028-2162",""
1055,"B M MCINTOSH;D RUSSELL;I DOS SANTOS;J H GEAR","ENG","JOURNAL ARTICLE",NA,"SOUTH AFRICAS AFR MED J04045200256-9574",""
1056,"J M MEEGAN;G M KHALIL;H HOOGSTRAAL;F K ADHAM","ENG","JOURNAL ARTICLE;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",NA,"UNITED STATESAM J TROP MED HYG03705070002-9637",""
1057,"J A REYNOLDS;M D KASTELLO;D G HARRINGTON;C L CRABBS;C J PETERS;J V JEMSKI;G H SCOTT;N R DI LUZIO","ENG","JOURNAL ARTICLE",NA,"UNITED STATESINFECT IMMUN02461270019-9567",""
1058,"D G HARRINGTON;H W LUPTON;C L CRABBS;C J PETERS;J A REYNOLDS;T W SLONE","ENG","JOURNAL ARTICLE",NA,"UNITED STATESAM J VET RES03750110002-9645",""
1059,"A H FAGBAMI","ENG","JOURNAL ARTICLE",NA,"KENYAEAST AFR MED J03727660012-835X",""
1060,"M MUSSGAY","GER","JOURNAL ARTICLE",NA,"GERMANY, WESTDTSCH MED WOCHENSCHR00067230012-0472",""
1061,"J A COETZER","AFR","ENGLISH ABSTRACT;JOURNAL ARTICLE",NA,"SOUTH AFRICAJ S AFR VET ASSOC75031221019-9128",""
1062,"R M RICE;B J ERLICK;R R ROSATO;G A EDDY;S B MOHANTY","ENG","COMPARATIVE STUDY;JOURNAL ARTICLE",NA,"UNITED STATESVIROLOGY01106740042-6822",""
1063,"R F SELLERS","ENG","JOURNAL ARTICLE",NA,"ENGLANDJ HYG (LOND)03753740022-1724",""
1064,"B M MCINTOSH;P G JUPP;I DOS SANTOS;B J BARNARD","ENG","JOURNAL ARTICLE",NA,"SOUTH AFRICAS AFR MED J04045200256-9574",""
1065,"A SHOSHAN","ENG","HISTORICAL ARTICLE;JOURNAL ARTICLE",NA,"GERMANYKOROT2985207R0023-4109",""
1066,"P G CHAMBERS;R SWANEPOEL","ENG","JOURNAL ARTICLE",NA,"ZAMBIACENT AFR J MED03725660008-9176",""
1067,"J A REYNOLDS;D G HARRINGTON;C L CRABBS;C J PETERS;N R DI LUZIO","ENG","JOURNAL ARTICLE",NA,"UNITED STATESINFECT IMMUN02461270019-9567",""
1068,"C MÉRIEUX;Y MOREAU;M ROUMIANTZEFF","FRE","ENGLISH ABSTRACT;JOURNAL ARTICLE",NA,"FRANCEBULL ACAD NATL MED75033830001-4079",""
1069,"A L SIAM;J M MEEGAN;K F GHARBAWI","ENG","CASE REPORTS;JOURNAL ARTICLE;RESEARCH SUPPORT, U.S. GOV'T, NON-P.H.S.",NA,"ENGLANDBR J OPHTHALMOL04210410007-1161",""
1070,"R E SHOPE;C J PETERS;J S WALKER","ENG","COMPARATIVE STUDY;LETTER;RESEARCH SUPPORT, U.S. GOV'T, P.H.S.",NA,"ENGLANDLANCET2985213R0140-6736",""
